Name,TN2014,TN2015,TN2016,PCo1,PCo2,PCo3,PCo4,PCo5
ernst_dorell_F11,0,0,0,-62.7826019723,82.1609575575,-45.3553855814,-64.098667659,-28.314664793
etoile_de_lyon_G11,3,1,1,-203.4675157773,-146.3608260019,113.9790230556,179.3525290745,44.676537522
eugene_furst_C12,5,1,1,-135.6887283193,-138.7577132328,65.4100715744,-145.2229324857,33.8053549196
euphrosine_G10,1,1,0,-201.5502011992,151.7333885432,-166.6097885686,-73.3209205909,46.2282974034
fatinitza_A3,4,5,3,-182.870950616,41.2749237692,-56.3080827276,67.8280802513,59.8997321402
francois_arago_C6,3,3,2,-131.0010370015,-125.9758325118,62.6356775994,-81.6655015356,31.4496236201
francois_foucard_C7,0,0,0,-167.4775629704,45.6750527031,-46.0716069804,135.2799271403,30.2139930115
fulgens_gallique_D1,4,3,2,-42.7414312016,-6.9590818448,51.2584115681,30.4362726814,5.2513815284
gaspard_monge_B8,2,1,0,3.8182843625,20.7089675264,12.2673643716,-40.3586434712,-29.2338139672
geant_des_batailles_C8,NA,NA,NA,-120.1364757275,-77.2479109368,55.4035229652,-98.9539897392,19.9131991489
general_jacqueminot_C9,NA,NA,NA,-92.781672399,-104.0111561857,50.2488071013,-128.4759213199,4.6431774816
general_kleber_B7,0,0,0,144.6086766055,60.6581854666,52.8137959816,11.5283441443,16.8103569454
geschwind_s_orden_D9,4,4,5,33.848112825,-52.9673420554,-48.7759493098,-21.8908150272,-52.0727960647
gilda_A6,3,3,4,-20.0350063932,62.6121706122,-37.4351090732,-47.4608892475,24.6694925807
gloire_de_dijon_C11,NA,2,2,-104.6557732403,-65.1236775212,65.5890915918,67.6521788621,12.8776968335
gloire_de_ducher_C12,5,0,NA,-135.5488530573,-76.8975419709,44.3037049533,-106.1541808105,7.7334385867
gloire_des_rosomanes_D1,2,1,1,-88.9876196829,-52.3097979146,-22.5417223011,40.0656463189,-63.3659241602
himmelsauge_A12,0,0,0,-6.8035938761,138.0772759729,-65.3212506021,-24.9997618838,42.5961158826
hippolyte.D7,0,0,0,5.8967300009,78.1748895768,2.083093217,-24.2916782033,28.9167306553
horace_vernet.E7,0,0,0,129.4446836438,21.0485896066,26.2348714664,4.9005958681,-56.9719043376
hovyn_de_tronchere_D3,2,0,1,-194.5153023447,-115.1143830519,92.6611182452,177.9040149805,39.1742512928
hume_s_blush_tea_scented_china_C7,0,0,0,-244.4056916941,-86.3033137298,49.2140461064,76.8277870869,49.6777994578
