Name,Accession_name,Height_mean,Height_sd,Height_NA_out_mean,Height_NA_out_sd,Circumference_mean,Circumference_sd,Circumference_NA_out_mean,Circumference_NA_out_sd,BLUP_height,BLUP_circ,Height_2012,Circumference_2012,Height_2013,Circumference_2013,Height_2014,Circumference_2014,PCo1,PCo2,PCo3,PCo4,PCo5
clotilde_soupert_B11,clotilde_soupert,98.3333333333,2.8867513459,98.3333333333,2.8867513459,493.3333333333,47.2581562625,493.3333333333,47.2581562625,102.0255875521,506.6764847436,95,440,100,530,100,510,-172.2810272375,124.8043034594,-134.3969250838,27.7446278686,59.8640448298
comtesse_de_murinais_E10,comtesse_de_murinais,97.5,3.5355339059,97.5,3.5355339059,420,155.563491861,420,155.563491861,105.7596541997,429.113740597,NA,NA,100,530,95,310,145.3383323215,-15.7486668934,-1.3549350685,5.3256325688,-46.9593889856
corporal_johann_nagy_D10,corporal_johann_nagy,153.3333333333,37.859388972,153.3333333333,37.859388972,758.3333333333,35.472994423,758.3333333333,35.472994423,154.2799120141,764.1753752152,170,765,180,790,110,720,33.5114454476,47.1284873131,-22.2591358499,-56.4144950543,15.966927173
cramoisi_eblouissant_B6,cramoisi_eblouissant,83.3333333333,12.5830573921,83.3333333333,12.5830573921,273.3333333333,35.1188458428,273.3333333333,35.1188458428,87.7744081534,292.9038209559,85,270,95,310,70,240,143.4372728706,80.0495834365,67.6610825093,11.3418871616,29.6037128648
cramoisi_superieur_B7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-234.5598777763,-6.0305326983,-12.2782833789,-16.9187766241,39.3501784944
creme_H3,creme,186.6666666667,16.0727512683,186.6666666667,16.0727512683,1096.6666666667,40.4145188433,1096.6666666667,40.4145188433,185.9491995668,1092.9318202827,205,1050,180,1120,175,1120,-34.1919635202,103.4083019275,-0.6329756694,67.5173157187,-136.2844795351
crimsom_rambler_B8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-189.6426621457,162.6410869305,-171.3454542059,-53.6488992961,43.6687408462
crimson_globe_B3,crimson_globe,136.6666666667,23.6290781313,136.6666666667,23.6290781313,640,0,640,0,138.4452682377,649.1915939354,145,640,155,640,110,640,39.2057881783,0.3672783488,32.5575225043,-39.3846208289,7.4157051178
dawson_H1,dawson,236.6666666667,15.2752523165,236.6666666667,15.2752523165,810,130.7669683062,810,130.7669683062,233.4531308959,814.3795614078,250,660,240,900,220,870,-212.2285950718,125.265249108,-146.5194713021,-69.4039399671,46.7554812418
delille_B12,delille,68.3333333333,7.6376261583,68.3333333333,7.6376261583,130,43.5889894354,130,43.5889894354,73.5232287546,153.6276915185,70,150,75,160,60,80,35.323782048,10.2659799144,35.0435324929,-6.9734641236,-44.1179982424
