Name,year_obtained_Cristiana,year_obtained,CoderemonteeHarmonise3years,codenumremonteeHarmonise3years,codenumremonteeAvg3years,IDJeremyYear1,coderemonteeYear1,codenumremonteeYear1,IDJeremyYear2,coderemonteeYear2,codenumremonteeYear2,IDJeremyYear3,coderemonteeYear3,codenumremonteeYear3,Nb_Clust_A3,Lmax_P_A3,Rat_P_A3,Min_M_A3,DifMax_M_A3,Min_V_A3,Area_Peak_Inflo_A3,Reb_Mag_A3,Max_Peak_A3,Max_Reb_A3,First_Reb_A3,Rat_Peak_A3,First_Flo_A3,Cont_Flo_A3,PCo1,PCo2,PCo3,PCo4,PCo5
celine_F12,1824,1824,NR,1,1,NR39,NR,1,NR55,NR,1,NR57,NR,1,2,-0.6248060346,0.8678836176,6.5988597548,2.917687983,1.3077684102,12.5464786959,0,11.2549294184,0,30,0,3,0,-106.4983077772,-32.3700076422,-44.6809031428,-85.4473991763,-67.1071948491
champmey_pink_cluster_B1,1811,1811,NR,1,1,NA,NA,NA,NR280,NR,1,NR290,NR,1,1,0,0,9.4970120967,29,1.0056274105,13.3999487242,0,13.3999487242,0,30,0,8,0,-176.6956868595,56.1279824162,-61.0803260743,-4.3593556818,-170.8127064299
charles_lawson_B4,1853,1853,NR,1,1,NR136,NR,1,NR196,NR,1,NR195,NR,1,1,0,0,6.9390874015,29,1.8170281019,7.8703427677,0,7.0119144529,0,30,0,1,0,-18.3485927783,-69.7651774033,66.2508710953,-75.6627755458,10.9659551497
charles_quint_B2,1856,1856,NR,1,1,NR165,NR,1,NR236,NR,1,NR246,NR,1,1,0,0,7.5318333292,29,1.3264590013,25.2679613282,0,24.7725111061,0,30,0,5,0,148.0193297961,74.2478012991,64.5437915802,12.9845822552,30.5009396221
chloris_F10,1814,1814,NR,1,1,NR57,NR,1,NR75,NR,1,NR72,NR,1,2,-0.0250538888,0.025370375,6.6598444364,2.1412805832,0.6922978869,6.8041670954,0,9.6627225024,0,30,0,5,0,145.5297693833,6.9724318703,-14.8516113307,20.9061682861,19.0251400023
claire_jacquier_F8,1887,1887,NR,1,1,NR77,NR,1,NR99,NR,1,NR93,NR,1,1,0,0,5.9897362692,29,1.2933090744,17.4880164673,0,35.3098717218,0,30,0,3,0,-128.4170856786,-13.8461957942,10.0966256933,139.3906496408,-149.494956126
clementine_B4,1818,1818,NR,1,1,NR184,NR,1,NR258,NR,1,NR263,NR,1,2,-0.1943603515,0.2145338632,7.0672407917,1.8430567123,0.1354280706,14.1551376649,0,14.7157371764,0,30,0,5,0,136.9256351969,16.6214435856,19.7989959082,17.6094641693,-40.8728186625
clotilde_soupert_B11,1889,1889,R,2,1.66,R53,R,2,R71,R,2,NR231,NR,1,3,-0.5036512445,0.6547521586,9.1815125094,20.1209222553,0.7983627304,30.2944949732,0.020531401,37.1677219461,2.054497193,28,0.0552763819,6,0,-172.2810272375,124.8043034594,-134.3969250838,27.7446278686,59.8640448298
comtesse_de_murinais_E10,1843,1843,NR,1,1,NA,NA,NA,NR111,NR,1,NR102,NR,1,1,0,0,7.9896390395,29,1.4593194035,7.1507707612,0,6.1881670049,0,30,0,6,0,145.3383323215,-15.7486668934,-1.3549350685,5.3256325688,-46.9593889856
corporal_johann_nagy_D10,1890,1890,NR,1,1,NR41,NR,1,NR57,NR,1,NR59,NR,1,1,0,0,9.103809604,29,0.8508945239,18.5643238725,0,24.5436926062,0,30,0,7,0,33.5114454476,47.1284873131,-22.2591358499,-56.4144950543,15.966927173
cramoisi_eblouissant_B6,NA,1829,NR,1,1,NR201,NR,1,NR278,NR,1,NR286,NR,1,1,0,0,9.2525847481,29,0.8169757424,14.7262155637,0,30.5432619099,0,30,0,8,0,143.4372728706,80.0495834365,67.6610825093,11.3418871616,29.6037128648
cramoisi_superieur_B7,1832,1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-234.5598777763,-6.0305326983,-12.2782833789,-16.9187766241,39.3501784944
creme_H3,1894,1894,NR,1,1,NR132,NR,1,NR189,NR,1,NR188,NR,1,2,-0.013477931,0.0135691677,10.2865723371,2.7906439342,0.6084113908,47.4988430087,0,162.7897978981,0,30,0,8,0,-34.1919635202,103.4083019275,-0.6329756694,67.5173157187,-136.2844795351
