Name	year_obtained	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	Nb_Clust_A3	Lmax_P_A3	Rat_P_A3	Min_M_A3	DifMax_M_A3	Min_V_A3	Area_Peak_Inflo_A3	Reb_Mag_A3	Max_Peak_A3	Max_Reb_A3	First_Reb_A3	Rat_Peak_A3	First_Flo_A3	Cont_Flo_A3	PCo1	PCo2	PCo3	PCo4	PCo5
ayrshire_queen_G1	1835	NR	1	1.33	NR176	NR	1	NR252	NR	1	R101	R	2	2	-0.37154102710128	0.449967332837742	6.28450709137759	2.9786023272453	0.334237004025961	5.81089550250769	0.224056603773585	10.4384171488816	2.59635756495024	9	0.248730964467005	5	0	-138.9991344876	-24.518259028	103.7225535389	25.5929342847	50.9513416935
bacchante_A5	1811	NR	1	1	NR114	NR	1	NR158	NR	1	NR151	NR	1	2	-0.612869122061589	0.84571940344864	9.69001256030511	2.40651952540468	0.424438750900931	3.31989006604189	0	2.9879010594377	0	30	0	9	0	148.6877988619	78.8956269464	74.4930451463	9.388725016	34.8334622463
baron_de_wassenaer_D4	1854	NR	1	1	NA	NA	NA	NR197	NR	1	NR196	NR	1	1	0	0	9.41503363862736	29	0.894550891488198	3.45017963073051	0	4.43594523951066	0	30	0	8	0	34.8270472296	9.288689072	0.613487934	-56.2979026855	-38.5116761856
beau_narcisse_H5	1828	NR	1	1.33	NR1	NR	1	NR1	NR	1	R1	R	2	3	-0.311313607400792	0.365217296306701	7.07396696407199	4.62442742177619	0.556230252020092	69.6680534966735	0.0837912087912088	75.2038958284932	17.5475756933151	12	0.233333333333333	6	0	6.3829106142	32.5379224204	48.9383684646	7.8531378454	32.0438161141
belle_de_baltimore_G5	1843	NR	1	1	NR108	NR	1	NR149	NR	1	NR142	NR	1	1	0	0	9.41384917761625	29	1.40031583192301	15.6325341194599	0	28.4891976943427	0	30	0	6	0	-46.370964057	97.7267390444	-1.6056290005	59.4472983256	-148.4746297191
belle_helene_A7	1815	NR	1	1	NR10	NR	1	NR14	NR	1	NR7	NR	1	2	-0.336345530573435	0.399822622770732	9.25441550514766	2.08415532118949	0.648207936193699	9.00407660428269	0	8.56485335529329	0	30	0	8	0	148.3839434359	77.2611588841	73.297286646	8.6055382973	33.0370098554
belle_herminie_B10	1819	NR	1	1	NR40	NR	1	NR56	NR	1	NR58	NR	1	2	-0.180458175108498	0.197766023998835	9.1635829274519	2.37838693547563	0.975804265739086	24.4779559081747	0	27.3082195600574	0	30	0	6	0	144.9301676946	85.6952522638	77.6035761479	9.5519577091	31.9864910745
belle_isis_F7	1845	NR	1	1	NR58	NR	1	NR76	NR	1	NR73	NR	1	2	-0.337395491631012	0.401293153877259	7.28699165117937	1.95314071521063	0.586834935388834	33.48182646683	0	37.7561021859998	0	30	0	6	0	139.8289366697	91.2040273786	76.0682982695	12.3486870135	29.3043333632
belvedere_G8	1829	NR	1	1	NR28	NR	1	NR40	NR	1	NR39	NR	1	1	0	0	10.7206925669818	29	1.09046745511192	65.867888212225	0	153.812376319756	0	30	0	8	0	-76.3519874726	130.8225437345	-102.8359617424	56.5636230514	-57.1716291808
bijou_des_amateurs_A8	1837	NR	1	1	NR8	NR	1	NR11	NR	1	NR5	NR	1	2	-0.419527708405536	0.521242915685976	9.07688299679995	2.8259445990429	0.123902010421937	3.50232121485603	0	3.23291189063633	0	30	0	9	0	147.3416965264	84.0259619689	78.4771916564	7.5911173135	33.4108538361
blanche_moreau_A9	1863	NA	NA	1	NA	NA	NA	NA	NA	NA	NR131	NR	1	2	-0.0900941690917387	0.0942773259553322	4.99168275313224	2.90920986863821	0.0962773213230916	4.40140112319596	0	4.51722746854323	0	30	0	5	0	153.0315293441	61.0050160537	61.5364998158	1.3264408917	31.0417079172
blanc_pur_G4	1827	NR	1	1	NR142	NR	1	NR205	NR	1	NR207	NR	1	1	0	0	6.74749300644174	29	1.2211828760009	2.01686523658188	0	2.2291668404326	0	30	0	5	0	-89.0531213765	-106.079852213	72.5739695733	68.4603116493	-38.6875102506
blush_damask_H1	1760	NR	1	1	NR113	NR	1	NR156	NR	1	NR150	NR	1	2	-0.0208505786941791	0.0210694707047449	6.85365314009923	5.60276744420371	0.800575376271798	3.11370869512598	0.020109689213894	7.02908119608663	0.145228950332368	11	0.0206611570247934	5	0	155.4423176404	-13.7395700057	-7.3492834655	5.4757467161	-6.934541869
blush_hip_B3	1834	NR	1	1	NR188	NR	1	NR264	NR	1	NR269	NR	1	2	-0.376431287649478	0.457075416907639	9.47038649446774	10.7650286406683	2.18742634597725	61.5941680620713	0.30640243902439	85.7677034082532	18.5652751458677	15	0.216459977452086	5	1	44.6725582576	24.2437700997	51.119863752	-9.0672952929	-1.6729713737
boula_de_nanteuil_A11	1834	NR	1	1	NR80	NR	1	NR102	NR	1	NR95	NR	1	1	0	0	7.68403760602837	29	1.22073106839869	11.018719288411	0	10.5779705168746	0	30	0	6	0	149.528197373	77.3026616913	73.5386639958	8.7095653821	34.2159236299
bouquet_de_venus_D6	1814	NR	1	1	NR3	NR	1	NR4	NR	1	NR2	NR	1	1	0	0	9.98126046915841	29	1.41015445402326	28.5523260554093	0	38.5456401748025	0	30	0	7	0	143.2546062951	87.1933009796	76.5833295985	9.9750634168	31.1618824828
camaieu_G12	1826	NR	1	1.33	NR51	NR	1	NR69	NR	1	R30	R	2	2	-0.0745079043250381	0.0773538592436839	9.54314628981531	3.93553858804798	0.371249383068522	8.63456054569544	0.0714285714285714	11.9555453709629	0.996295447580243	13	0.0833333333333333	8	0	145.3760012436	84.794197952	75.8071768418	10.7651915244	32.2162989146
capitaine_basroger_C1	1890	NR	1	1	NR173	NR	1	NR246	NR	1	NR256	NR	1	1	0	0	6.2993181887521	29	0.985688330909906	7.31252479881834	0	9.62174315633992	0	30	0	4	0	-9.6409703009	-39.0188776137	78.1558559251	-36.9568411119	30.0774896456
caroline_banks_A12	1889	NR	1	1	NR129	NR	1	NR185	NR	1	NR183	NR	1	2	-0.461276749405636	0.586097742153774	5.91988791160298	2.3235349823047	0.734610430928436	10.1114058350837	0	9.45905707152995	0	30	0	4	0	-93.7670718623	25.5087875745	-53.0031135206	-85.2716588562	17.7570828757
celine_F12	1824	NR	1	1	NR39	NR	1	NR55	NR	1	NR57	NR	1	2	-0.624806034647149	0.867883617587701	6.59885975478088	2.91768798304682	1.30776841020153	12.5464786959084	0	11.2549294183884	0	30	0	3	0	-106.4983077772	-32.3700076422	-44.6809031428	-85.4473991763	-67.1071948491
champmey_pink_cluster_B1	1811	NR	1	1	NA	NA	NA	NR280	NR	1	NR290	NR	1	1	0	0	9.497012096697	29	1.00562741053171	13.399948724207	0	13.399948724207	0	30	0	8	0	-176.6956868595	56.1279824162	-61.0803260743	-4.3593556818	-170.8127064299
charles_lawson_B4	1853	NR	1	1	NR136	NR	1	NR196	NR	1	NR195	NR	1	1	0	0	6.93908740145582	29	1.81702810193433	7.87034276769783	0	7.01191445286254	0	30	0	1	0	-18.3485927783	-69.7651774033	66.2508710953	-75.6627755458	10.9659551497
charles_quint_B2	1856	NR	1	1	NR165	NR	1	NR236	NR	1	NR246	NR	1	1	0	0	7.53183332919729	29	1.32645900132142	25.2679613281816	0	24.7725111060604	0	30	0	5	0	148.0193297961	74.2478012991	64.5437915802	12.9845822552	30.5009396221
chloris_F10	1814	NR	1	1	NR57	NR	1	NR75	NR	1	NR72	NR	1	2	-0.0250538887988768	0.0253703750135298	6.65984443636113	2.14128058319469	0.69229788694704	6.80416709543349	0	9.66272250239075	0	30	0	5	0	145.5297693833	6.9724318703	-14.8516113307	20.9061682861	19.0251400023
claire_jacquier_F8	1887	NR	1	1	NR77	NR	1	NR99	NR	1	NR93	NR	1	1	0	0	5.9897362691756	29	1.29330907435513	17.4880164673	0	35.3098717217878	0	30	0	3	0	-128.4170856786	-13.8461957942	10.0966256933	139.3906496408	-149.494956126
clementine_B4	1818	NR	1	1	NR184	NR	1	NR258	NR	1	NR263	NR	1	2	-0.194360351492665	0.214533863200648	7.06724079167171	1.8430567122797	0.135428070587551	14.1551376648889	0	14.7157371763697	0	30	0	5	0	136.9256351969	16.6214435856	19.7989959082	17.6094641693	-40.8728186625
clotilde_soupert_B11	1889	R	2	1.66	R53	R	2	R71	R	2	NR231	NR	1	3	-0.503651244513216	0.654752158616694	9.18151250942486	20.1209222553023	0.798362730448139	30.2944949731588	0.0205314009661836	37.1677219461073	2.05449719300091	28	0.0552763819095477	6	0	-172.2810272375	124.8043034594	-134.3969250838	27.7446278686	59.8640448298
comtesse_de_murinais_E10	1843	NR	1	1	NA	NA	NA	NR111	NR	1	NR102	NR	1	1	0	0	7.98963903945319	29	1.45931940351367	7.1507707611757	0	6.18816700486359	0	30	0	6	0	145.3383323215	-15.7486668934	-1.3549350685	5.3256325688	-46.9593889856
corporal_johann_nagy_D10	1890	NR	1	1	NR41	NR	1	NR57	NR	1	NR59	NR	1	1	0	0	9.10380960396582	29	0.850894523910056	18.564323872486	0	24.5436926061703	0	30	0	7	0	33.5114454476	47.1284873131	-22.2591358499	-56.4144950543	15.966927173
cramoisi_eblouissant_B6	1829	NR	1	1	NR201	NR	1	NR278	NR	1	NR286	NR	1	1	0	0	9.25258474807232	29	0.816975742356608	14.7262155637022	0	30.5432619099008	0	30	0	8	0	143.4372728706	80.0495834365	67.6610825093	11.3418871616	29.6037128648
cramoisi_superieur_B7	1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-234.5598777763	-6.0305326983	-12.2782833789	-16.9187766241	39.3501784944
creme_H3	1894	NR	1	1	NR132	NR	1	NR189	NR	1	NR188	NR	1	2	-0.0134779309530289	0.0135691676978081	10.2865723371242	2.79064393418616	0.608411390759534	47.4988430086759	0	162.789797898068	0	30	0	8	0	-34.1919635202	103.4083019275	-0.6329756694	67.5173157187	-136.2844795351
crimsom_rambler_B8	1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-189.6426621457	162.6410869305	-171.3454542059	-53.6488992961	43.6687408462
crimson_globe_B3	1839	NR	1	1	NR127	NR	1	NR179	NR	1	NR176	NR	1	2	-0.00501254182354429	0.00502512562814071	6.63005965158306	23.0324211747902	0.257792618210084	4.9343048677	0.00515463917525773	4.44854428486836	0.0766990393942821	30	0.0172413793103448	3	0	39.2057881783	0.3672783488	32.5575225043	-39.3846208289	7.4157051178
dawson_H1	1888	NR	1	1	NR20	NR	1	NR28	NR	1	NR26	NR	1	1	0	0	5.08392810765575	29	1.89470051989245	11.0619808848923	0	25.5612538927356	0	30	0	1	0	-212.2285950718	125.265249108	-146.5194713021	-69.4039399671	46.7554812418
delille_B12	1852	NA	NA	2	RF36	RF	3	NR218	NR	1	R83	R	2	3	-0.811773642278473	1.25189850915333	11.4127380256711	3.58741889665806	0.0821048289037198	4.50034054641408	0.2	6.75051081962112	3.37525540981056	15	0.5	11	0	35.323782048	10.2659799144	35.0435324929	-6.9734641236	-44.1179982424
desprez_a_fleur_jaune_B10	1835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-182.5912704899	-35.9165891907	18.0110455404	95.2732681005	-99.2552595851
deuil_de_paul_fontaine_B11	1873	RF	3	3	NA	NA	NA	RF70	RF	3	RF95	RF	3	4	-1.07270946794495	1.92328933816709	7.50407839240571	7.49681824559715	0.079970757822788	1.42007808773924	0.777777777777778	2.13011713160886	4.26023426321771	10	2	7	0	18.1825920462	7.1432709499	48.6113940417	-40.5699511005	0.1694781787
dona_sol_A1	1842	NR	1	1	NR169	NR	1	NR241	NR	1	NR251	NR	1	1	0	0	9.50107571108055	29	1.28817358829133	26.0088964353798	0	35.6693436828066	0	30	0	7	0	143.2999309006	82.0629079516	75.4988563826	11.1766316796	19.7069379244
duc_d_anjou_B12	1862	NR	1	1	NR5	NR	1	NR7	NR	1	NR39	NR	1	1	0	0	8.49368084507527	29	1.90893930437913	7.8998932192098	0	10.3306295943513	0	30	0	5	0	148.9254874487	71.7145938563	65.2930860003	9.8963343635	34.491368741
duc_de_cambridge_B6	1840	NR	1	1	NR18	NR	1	NR23	NR	1	NR183	NR	1	2	-0.00200200267067308	0.00200400801603207	7.64252891397511	22.1168864474731	0.17699476506141	11.3977194655211	0.00221729490022173	9.49809955460095	0.0759847964368076	30	0.008	5	0	35.7367542136	13.1593367627	3.622305498	-56.1758504381	-16.3276297058
duchesse_de_montebello_H7	1824	NR	1	1	NR84	NR	1	NR108	NR	1	NR100	NR	1	1	0	0	7.81586676818987	29	0.771923324969629	16.4864920596549	0	21.0660731873368	0	30	0	6	0	144.3417450089	81.3625768157	74.2006387942	9.4075953313	32.3010274457
duchesse_de_portland_C2	1799	NR	1	1	NR43	NR	1	NR60	NR	1	NR61	NR	1	1	0	0	7.75960225600236	29	1.20221080520301	1.74641651939956	0	1.84914690289365	0	30	0	6	0	144.4936582512	18.7784378994	29.2169217098	-1.8740999261	-33.0882007426
duchesse_de_verneuil_A7	1859	NR	1	1	NR16	NR	1	NR21	NR	1	NR15	NR	1	1	0	0	9.18037193985097	29	1.18107200338569	22.3349968432811	0	26.9333785463095	0	30	0	7	0	152.6316460387	56.2694852661	61.4751567265	2.1168346935	16.2797181284
duchesse_du_berry_C1	1825	NR	1	1	NR153	NR	1	NR220	NR	1	NR228	NR	1	1	0	0	11.5998073755123	29	0.32291432826884	5.86869005647338	0	10.5636421016521	0	30	0	11	0	149.7515663949	76.6335716573	74.0035072892	7.9679177651	32.8794608498
enfant_de_france_B10	1857	R	2	2.5	NA	NA	NA	R32	R	2	RF47	RF	3	2	-0.417973882388277	0.518881004339874	5.73115292864276	11.9779520621502	1.42978373811699	51.4862569174787	0.336747759282971	14.9091477560267	3.5781954614464	10	0.24	1	1	30.1967534998	5.2240529351	80.2022551298	92.86258191	31.5773482148
ernest_morel_C3	1898	RF	3	2.66	RF56	RF	3	R92	R	2	RF107	RF	3	2	-0.510825623765991	0.666666666666667	8.49036527124059	10.1613570078767	0.319288410336377	8.52379681679692	0.6	4.26189840839846	8.52379681679691	18	2	8	0	-90.2227598652	-117.6097713422	72.3495426766	-113.3455753813	12.6552048817
ernst_dorell_F11	1887	NR	1	1	NR26	NR	1	NR37	NR	1	NR35	NR	1	1	0	0	8.52368429859919	29	2.33297407061744	26.9209879978106	0	26.3129476138962	0	30	0	2	0	-62.7826019723	82.1609575575	-45.3553855814	-64.098667659	-28.314664793
etoile_de_lyon_G11	1881	R	2	2	NA	NA	NA	R8	R	2	R10	R	2	7	-1.32236783100015	2.75229566870952	7.93707346988032	13.1139259205188	0.0466394323390246	25.4386040841093	0.189189189189189	5.08772081682186	1.69590693894062	17	0.333333333333333	8	0	-203.4675157773	-146.3608260019	113.9790230556	179.3525290745	44.676537522
eugene_furst_C12	1875	RF	3	3	RF48	RF	3	RF72	RF	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-135.6887283193	-138.7577132328	65.4100715744	-145.2229324857	33.8053549196
euphrosine_G10	1895	NR	1	1.33	NR45	NR	1	NR62	NR	1	R24	R	2	2	-0.278292620171457	0.320872654646393	5.79205295533235	4.20091588422189	1.36970103439089	7.89583869968859	0.22949777495232	20.0653326691756	6.24761494472059	9	0.311363636363636	3	0	-201.5502011992	151.7333885432	-166.6097885686	-73.3209205909	46.2282974034
fatinitza_A3	1886	NA	NA	2.33	NR37	NR	1	RF21	RF	3	NR54	NR	1	2	-0.0120725812342692	0.0121457489878543	6.32843592654591	22.5104960616609	0.793158869862963	11.6239600366589	0.0169014084507042	20.400216396715	0.333064757497388	28	0.0163265306122449	4	0	-182.870950616	41.2749237692	-56.3080827276	67.8280802513	59.8997321402
francois_arago_C6	1858	RF	3	3	RF55	RF	3	RF79	RF	3	RF106	RF	3	4	-1.02235578982601	1.77973552928403	4.77429015681184	16.4435078671189	0.509822012093178	4.54514601911325	0.553571428571429	5.63598106370043	3.27250513376154	8	0.580645161290323	1	1	-131.0010370015	-125.9758325118	62.6356775994	-81.6655015356	31.4496236201
francois_foucard_C7	1900	R	2	2.33	R14	R	2	R14	R	2	RF21	RF	3	2	-0.20271951930782	0.224728907256999	8.54684267102582	9.5740381936604	2.24115478257126	12.1558699060204	0.207513416815742	30.4582744823537	2.99094767439329	12	0.0981981981981982	3	1	-167.4775629704	45.6750527031	-46.0716069804	135.2799271403	30.2139930115
fulgens_gallique_D1	1828	NR	1	1	NA	NA	NA	NR215	NR	1	NR221	NR	1	1	0	0	6.62411755729387	29	2.28250987514999	23.8955192766947	0	25.9392150043068	0	30	0	2	0	-42.7414312016	-6.9590818448	51.2584115681	30.4362726814	5.2513815284
gaspard_monge_B8	1854	NR	1	1	NR23	NR	1	NR32	NR	1	NR30	NR	1	2	-0.483171455686452	0.62120784648827	6.89130349340167	2.6009174448276	1.34332372863871	11.7008462121397	0	7.77209492923147	0	30	0	3	0	3.8182843625	20.7089675264	12.2673643716	-40.3586434712	-29.2338139672
geant_des_batailles_C8	1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-120.1364757275	-77.2479109368	55.4035229652	-98.9539897392	19.9131991489
general_jacqueminot_C9	1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-92.781672399	-104.0111561857	50.2488071013	-128.4759213199	4.6431774816
general_kleber_B7	1856	NR	1	1	NR15	NR	1	NR20	NR	1	NR14	NR	1	1	0	0	9.65671702038281	29	1.03805977801341	19.2973099088065	0	20.6467721401916	0	30	0	8	0	144.6086766055	60.6581854666	52.8137959816	11.5283441443	16.8103569454
geschwind_s_orden_D9	1886	NR	1	1	NR32	NR	1	NR48	NR	1	NR49	NR	1	1	0	0	8.83847157568229	29	1.96552091680354	14.8392113787812	0.00530785562632696	51.8659736024635	0.15836938504569	15	0.00305343511450382	5	0	33.848112825	-52.9673420554	-48.7759493098	-21.8908150272	-52.0727960647
gilda_A6	1887	NR	1	1.33	NR2	NR	1	NR2	NR	1	R2	R	2	3	-0.776520453502811	1.17389492182295	7.34490814033622	5.21814237048752	0.585239837084376	8.58013804673668	0.0932203389830508	6.37496238051931	1.26296424519722	12	0.19811320754717	5	0	-20.0350063932	62.6121706122	-37.4351090732	-47.4608892475	24.6694925807
gloire_de_dijon_C11	1850	R	2	2	NA	NA	NA	NA	NA	NA	R81	R	2	3	-0.420847844194823	0.523252489066192	9.21945401516855	10.6600773756677	0.0582509072101248	1.58580483685802	0.282051282051282	2.2087995941951	0.849538305459652	12	0.384615384615385	6	0	-104.6557732403	-65.1236775212	65.5890915918	67.6521788621	12.8776968335
gloire_de_ducher_C12	1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-135.5488530573	-76.8975419709	44.3037049533	-106.1541808105	7.7334385867
gloire_des_rosomanes_D1	1825	RF	3	3	RF16	RF	3	RF34	RF	3	RF44	RF	3	4	-0.716839105971334	1.04794961735	5.84291303332916	23.0105335750418	0.831938985789466	7.47375925287426	0.788990825688073	2.59956843578235	3.24946054472794	10	1.25	4	0	-88.9876196829	-52.3097979146	-22.5417223011	40.0656463189	-63.3659241602
himmelsauge_A12	1893	NR	1	1	NR133	NR	1	NR190	NR	1	NR189	NR	1	1	0	0	6.92269936546024	29	1.5598960387128	23.974397718942	0	24.891370364577	0	30	0	2	0	-6.8035938761	138.0772759729	-65.3212506021	-24.9997618838	42.5961158826
hippolyte.D7	1832	NR	1	1	NR12	NR	1	NR17	NR	1	NR12	NR	1	1	0	0	8.99669866000163	29	1.89937369262843	13.6164530072946	0	17.8860187807683	0	30	0	6	0	5.8967300009	78.1748895768	2.083093217	-24.2916782033	28.9167306553
horace_vernet.E7	1866	NR	1	1	NR6	NR	1	NR8	NR	1	NR4	NR	1	2	-0.25551920288067	0.29113180622987	6.77744199811552	2.48113941166056	0.791748207393106	10.2522634968743	0	18.5062044477476	0	30	0	5	0	129.4446836438	21.0485896066	26.2348714664	4.9005958681	-56.9719043376
hovyn_de_tronchere_D3	1899	RF	3	3	NA	NA	NA	NA	NA	NA	RF17	RF	3	3	-0.918458816090588	1.50542609052621	5.00969935459009	19.4076434004542	1.15556037611443	7.44495993028072	0.62962962962963	2.23348797908422	3.35023196862632	12	1.5	3	0	-194.5153023447	-115.1143830519	92.6611182452	177.9040149805	39.1742512928
hume_s_blush_tea_scented_china_C7	1809	RF	3	3	RF3	RF	3	RF4	RF	3	RF7	RF	3	3	-0.750346604976493	1.11773390653127	7.90079176321763	17.2112998657693	2.44010400988292	85.0013886621159	0.497777777777778	21.0622909959225	9.77892081953545	12	0.464285714285714	4	1	-244.4056916941	-86.3033137298	49.2140461064	76.8277870869	49.6777994578
hybride_de_rosa_wichurana_H12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-146.3629762121	157.7971304448	-145.1525705017	-14.3504772728	62.4998794639
imperatrice_josephine_E9	1815	NR	1	1	NR88	NR	1	NR118	NR	1	NR112	NR	1	1	0	0	9.31963731904937	29	1.10451540931338	12.3092187573187	0	13.0667091423845	0	30	0	8	0	155.8534353813	19.5817827791	11.905907034	12.4923348254	18.3858585025
indigo_D3	1830	R	2	2.33	RF49	RF	3	R85	R	2	R105	R	2	3	-0.83571856999435	1.30647081368433	6.75709017699963	6.60603612780811	0.197228196214568	18.3773514338487	0.193989071038251	14.7641772536344	5.79353790965399	13	0.392405063291139	5	0	147.2169452784	60.8868346795	60.7594479987	7.0468062538	9.9129913174
jacques_cartier_blanc_G1	1868	R	2	1.66	R51	R	2	R65	R	2	NR220	NR	1	2	-0.0264009576119996	0.026752550201148	8.97393280101012	10.8561923127732	2.99645054629867	29.3497208088672	0.0277777777777778	20.7544454291275	0.94338388314216	18	0.0454545454545455	4	0	24.4821779237	76.9281095216	25.722664863	2.5313557604	-44.8864220677
janet_s_pride_D2	1894	NR	1	1	NR182	NR	1	NR257	NR	1	NR261	NR	1	1	0	0	8.08062129993105	29	1.29388179307639	3.30595659741613	0	5.41653905791344	0	30	0	6	0	119.6509157805	94.0184749835	61.1537642494	23.411824654	21.6648796774
jean_bach_sisley_D4	1898	RF	3	2.66	RF23	RF	3	RF46	RF	3	R66	R	2	5	-1.27380860090212	2.57444028732296	4.63443495537251	16.4202309123327	0.123595438737243	15.7374707528713	0.228571428571428	5.63440310905268	1.74860786143014	15	0.310344827586207	2	0	-215.6964793901	-77.1234697827	43.2110608375	120.4710709701	46.5507723632
jeanne_d_arc_G2	1818	RF	3	3	RF24	RF	3	RF47	RF	3	RF62	RF	3	3	-0.714679164389201	1.04353093957419	8.70205280667159	15.8640372829615	0.666334141687432	23.7142381746044	0.596936080295827	91.8110872447987	104.21211087739	11	1.13507109004739	6	0	-162.9380904758	144.3832897198	-149.5258646586	-13.0750107213	71.691686837
jenny_duval_G8	1842	NR	1	1	NR76	NR	1	NR98	NR	1	NR92	NR	1	1	0	0	9.62903400078764	29	1.06712018205922	27.2698790883032	0	31.544154807473	0	30	0	6	0	148.0607440192	76.939186692	72.4964603426	8.8932439778	33.7470153763
