INDEX	ID	Name_corCOP	date_corCOP	periode_corCOP	periode_corCOP_2decades	classification_corCOP	mean_petals_binary_less10	mean_petals_binary_more25	mean_petals	CoderemonteeHarmonise3years	codenumremonteeHarmonise3years	codenumremonteeAvg3years	IDJeremyYear1	coderemonteeYear1	codenumremonteeYear1	IDJeremyYear2	coderemonteeYear2	codenumremonteeYear2	IDJeremyYear3	coderemonteeYear3	codenumremonteeYear3	2phenylethanol	geraniol	35dimethoxytoluene	EEfarnesol	2phenylethanol_binary10	geraniol_binary10	35dimethoxytoluene_binary0p1	2phenylethanol_binary100	geraniol_binary50	35dimethoxytoluene_binary0p1	TN2014	TN2015	TN2016	PCo1	PCo2	PCo3	PCo4	PCo5	Name2	Nb_acicules_branch_binaryTatiana	Nb_prickles_branch_binaryTatiana	uper_leaf_shine_binaryTatiana	Plant_Type_BuissonnantOuAutre	Plant_Type_ArbustifOuAutre	Shape2014_CylindriqueOuNon	Shape2014_ConiqueOuNon	Shape2014_SpheriqueOuNon	shape_corolla_FlatOrNot	shape_corolla_EnCoupeOuPas	shape_corolla_GlobuleuseOuPas	shape_corolla_AquartiersOuPas	shape_corolla_ImbriqueeOuPas	color_distribution_UnicolorOrNot	main_petal_color_redpinkpurple_vs_other	main_petal_color_white_vs_other	main_petal_color_rose_vs_other	main_petal_color_purple_vs_other	Shape_2012	Shape_2013	Shape_2014	Shape_across_year	Plant_Type	Nb_acicules_branch	Nb_prickles_branch	uper_leaf_shine	shape_corolla	size_corolla	nb_flowers_per_inflorescence	color_distribution	unicolor_yesorno	main_petal_color	PCo1_2	PCo2_2	PCo3_2	PCo4_2	PCo5_2
141	provins_renoncule_F8	provins_renoncule	1810	[1800-1810]	[<1800-1829]	Hgal	0	1	45	NR	1	1	NR53	NR	1	NR70	NR	1	NR67	NR	1	336.73	39.69	0	0	1	1	0	1	0	0	0	1	2	151.1540785	27.40844842	6.604323437	19.69630984	24.17970982	provins_renoncule_F8	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	3	NA	5	5	3	2	11	3	NA	unicolor	1	pink	151.1540785	27.40844842	6.604323437	19.69630984	24.17970982
142	pucelle_de_lille_H8	pucelle_de_lille	1828	[1820-1829]	[<1800-1829]	Hgal	0	1	68	NR	1	1	NR74	NR	1	NR96	NR	1	NR90	NR	1	527.907	208.057	0	3.65	1	1	0	1	1	1	0	1	1	146.8609421	84.84301603	79.04635884	8.367804101	33.73057286	pucelle_de_lille_H8	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	5	7	5	2	11	5	3	unicolor	1	pink	146.8609421	84.84301603	79.04635884	8.367804101	33.73057286
144	reine_des_centfeuilles_C3	reine_des_centfeuilles	1824	[1820-1829]	[<1800-1829]	C	0	1	138	NR	1	1	NR124	NR	1	NR176	NR	1	NR173	NR	1	556.768	64.226	0	0.708	1	1	0	1	1	1	0	0	0	115.2088047	38.18554325	37.04741347	15.40943691	-72.98094407	reine_des_centfeuilles_C3	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	2	2	3	NA	5	7	3	2	11	5	3	unicolor	1	pink	115.2088047	38.18554325	37.04741347	15.40943691	-72.98094407
148	roi_des_pourpres_E11	roi_des_pourpres	1819	[1810-1819]	[<1800-1829]	Hgal	0	1	57.4	NR	1	1	NA	NA	NA	NR95	NR	1	NR89	NR	1	235.16	314.99	0	6.1	1	1	0	1	1	1	1	0	0	139.3521548	-68.0246628	-74.29767298	48.14053364	-61.16685642	roi_des_pourpres_E11	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	3	1	2	NA	5	3	3	2	11	5	3	unicolor	1	pink	139.3521548	-68.0246628	-74.29767298	48.14053364	-61.16685642
173	rosa_pimpinellifolia_double_white_F6	rosa_pimpinellifolia_double_white	1815	[1810-1819]	[<1800-1829]	Hspn	0	0	20.4	NR	1	1.33	NR49	NR	1	NR66	NR	1	R27	R	2	1.03	50.5167	0	3.90667	0	1	0	0	1	1	0	0	2	177.4723455	-141.5075838	-123.8902059	39.14869371	22.53641594	rosa_pimpinellifolia_double_white_F6	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	3	1	3	NA	7	5	5	1	3	1	1	unicolor	1	white	177.4723455	-141.5075838	-123.8902059	39.14869371	22.53641594
1	adam_F4	adam	1838	[1830-1839]	[1830-1849]	T	0	1	51	R	2	2	R64	R	2	R91	R	2	R112	R	2	0.212	0	6.406	0	0	0	1	0	0	0	1	NA	0	-202.6184497	-83.68701119	61.10386399	145.1305199	27.76088089	adam_F4	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	2	3	3	NA	7	3	1	4	3	3	3	unicolor	1	pink	-202.6184497	-83.68701119	61.10386399	145.1305199	27.76088089
10	antonia_d_ormois_C12	antonia_d_ormois	1835	[1830-1839]	[1830-1849]	Hgal	0	1	94.8	NA	NA	1.66	RF45	RF	3	NR230	NR	1	NR240	NR	1	412.82	38.61	0	6.00667	1	1	0	1	0	1	2	3	3	137.7437471	67.86946585	59.68022313	13.24699089	9.406964274	antonia_d_ormois_C12	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	2	3	3	NA	5	5	5	2	11	3	3	unicolor	1	pink	137.7437471	67.86946585	59.68022313	13.24699089	9.406964274
11	ayrshire_queen_G1	ayrshire_queen	1835	[1830-1839]	[1830-1849]	Ayr	0	1	36.6	NR	1	1.33	NR176	NR	1	NR252	NR	1	R101	R	2	3.95	0	0	0	0	0	0	0	0	0	4	1	1	-138.9991345	-24.51825903	103.7225535	25.59293428	50.95134169	ayrshire_queen_G1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	3	3	3	3	9	3	3	3	3	5	3	unicolor	1	pink	-138.9991345	-24.51825903	103.7225535	25.59293428	50.95134169
15	belle_de_baltimore_G5	belle_de_baltimore	1843	[1840-1849]	[1830-1849]	Hset	0	1	68	NR	1	1	NR108	NR	1	NR149	NR	1	NR142	NR	1	204.82	0.366667	0	0	1	0	0	1	0	0	1	4	1	-46.37096406	97.72673904	-1.605629001	59.44729833	-148.4746297	belle_de_baltimore_G5	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	2	2	NA	9	3	3	3	11	3	5	unicolor	1	white	-46.37096406	97.72673904	-1.605629001	59.44729833	-148.4746297
18	belle_isis_F7	belle_isis	1845	[1840-1849]	[1830-1849]	Hgal	0	1	92.6	NR	1	1	NR58	NR	1	NR76	NR	1	NR73	NR	1	649.893	46.0767	0	1.75	1	1	0	1	0	1	0	0	0	139.8289367	91.20402738	76.06829827	12.34868701	29.30433336	belle_isis_F7	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	3	3	NA	5	5	5	2	11	5	3	unicolor	1	pink	139.8289367	91.20402738	76.06829827	12.34868701	29.30433336
